1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
56, private, minecraft:sunflower_plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
57, private, minecraft:sunflower_plains, CREATURE, betteranimalsplus:badger, 7, 1, 2
58, private, minecraft:sunflower_plains, CREATURE, betteranimalsplus:coyote, 5, 1, 6
59, private, minecraft:sunflower_plains, CREATURE, betteranimalsplus:boar, 9, 1, 4
60, private, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
61, private, minecraft:sunflower_plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
62, private, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
63, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
64, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
65, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
66, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
67, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
68, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
69, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 10, 1, 4
70, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
71, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
72, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
73, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
74, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_skeleton, 20, 1, 1
75, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
76, icy, minecraft:snowy_plains, MONSTER, mythicmounts:dragon, 80, 1, 1
77, icy, minecraft:snowy_plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
78, icy, minecraft:snowy_plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
79, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 10, 1, 1
80, icy, minecraft:snowy_plains, MONSTER, graveyard:revenant, 25, 5, 8
81, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
82, icy, minecraft:snowy_plains, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
83, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
84, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 5, 1, 2
85, icy, minecraft:snowy_plains, CREATURE, betteranimalsplus:reindeer, 10, 1, 4
86, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
87, icy, minecraft:snowy_plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
88, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
89, private, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
90, private, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
91, private, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 5, 1, 1
92, private, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
93, private, minecraft:ice_spikes, MONSTER, minecraft:creeper, 80, 4, 4
94, private, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
95, private, minecraft:ice_spikes, MONSTER, minecraft:enderman, 10, 1, 4
96, private, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
97, private, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
98, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
99, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
100, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_skeleton, 20, 1, 1
101, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
102, private, minecraft:ice_spikes, MONSTER, mythicmounts:dragon, 80, 1, 1
103, private, minecraft:ice_spikes, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
104, private, minecraft:ice_spikes, MONSTER, uselessreptile:moleclaw, 80, 1, 1
105, private, minecraft:ice_spikes, MONSTER, graveyard:revenant, 25, 5, 8
106, private, minecraft:ice_spikes, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
107, private, minecraft:ice_spikes, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
108, private, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
109, private, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 5, 1, 2
110, private, minecraft:ice_spikes, CREATURE, betteranimalsplus:lammergeier, 7, 1, 2
111, private, minecraft:ice_spikes, CREATURE, betteranimalsplus:reindeer, 10, 1, 4
112, private, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
113, private, minecraft:ice_spikes, AMBIENT, mythicmounts:firebird, 5, 1, 1
114, private, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
115, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
116, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
117, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
118, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
119, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
120, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
121, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
122, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
123, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
124, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
125, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
126, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
127, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_zombie, 19, 1, 1
128, desert, minecraft:desert, MONSTER, mythicmounts:dragon, 80, 1, 1
129, desert, minecraft:desert, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
130, desert, minecraft:desert, MONSTER, uselessreptile:moleclaw, 80, 1, 1
131, desert, minecraft:desert, MONSTER, graveyard:nightmare, 10, 1, 1
132, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
133, desert, minecraft:desert, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
134, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
135, desert, minecraft:desert, CREATURE, mythicmounts:ridinglizard, 5, 2, 3
136, desert, minecraft:desert, CREATURE, betteranimalsplus:coyote, 5, 1, 6
137, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
138, desert, minecraft:desert, AMBIENT, mythicmounts:firebird, 5, 1, 1
139, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
140, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
141, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
142, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
143, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
144, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
145, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
146, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 10, 1, 4
147, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
148, swamp, minecraft:swamp, MONSTER, minecraft:slime, 5, 1, 1
149, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
150, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
151, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
152, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
153, swamp, minecraft:swamp, MONSTER, mythicmounts:dragon, 80, 1, 1
154, swamp, minecraft:swamp, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
155, swamp, minecraft:swamp, MONSTER, graveyard:ghoul, 25, 2, 5
156, swamp, minecraft:swamp, MONSTER, uselessreptile:moleclaw, 80, 1, 1
157, swamp, minecraft:swamp, MONSTER, graveyard:nightmare, 10, 1, 1
158, swamp, minecraft:swamp, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
159, swamp, minecraft:swamp, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
160, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
161, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
162, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
163, swamp, minecraft:swamp, CREATURE, minecraft:cow, 8, 4, 4
164, swamp, minecraft:swamp, CREATURE, minecraft:frog, 10, 2, 5
165, swamp, minecraft:swamp, CREATURE, uselessreptile:wyvern, 5, 1, 1
166, swamp, minecraft:swamp, CREATURE, betteranimalsplus:crab, 10, 1, 3
167, swamp, minecraft:swamp, CREATURE, betteranimalsplus:moose, 8, 1, 1
168, swamp, minecraft:swamp, CREATURE, whisperwoods:wisp, 13, 1, 3
169, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
170, swamp, minecraft:swamp, AMBIENT, mythicmounts:firebird, 5, 1, 1
171, swamp, minecraft:swamp, AMBIENT, betteranimalsplus:dragonfly, 10, 1, 3
172, swamp, minecraft:swamp, AMBIENT, whisperwoods:moth, 10, 1, 3
173, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
174, swamp, minecraft:swamp, WATER_AMBIENT, betteranimalsplus:lamprey, 7, 1, 3
175, swamp, minecraft:swamp, WATER_AMBIENT, betteranimalsplus:eel_freshwater, 7, 1, 3
176, private, minecraft:mangrove_swamp, MONSTER, minecraft:spider, 80, 4, 4
177, private, minecraft:mangrove_swamp, MONSTER, minecraft:zombie, 80, 4, 4
178, private, minecraft:mangrove_swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
179, private, minecraft:mangrove_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
180, private, minecraft:mangrove_swamp, MONSTER, minecraft:creeper, 80, 4, 4
181, private, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 80, 4, 4
182, private, minecraft:mangrove_swamp, MONSTER, minecraft:enderman, 10, 1, 4
183, private, minecraft:mangrove_swamp, MONSTER, minecraft:witch, 5, 1, 1
184, private, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 5, 1, 1
185, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
186, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
187, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
188, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
189, private, minecraft:mangrove_swamp, MONSTER, mythicmounts:dragon, 80, 1, 1
190, private, minecraft:mangrove_swamp, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
191, private, minecraft:mangrove_swamp, MONSTER, graveyard:ghoul, 25, 2, 5
192, private, minecraft:mangrove_swamp, MONSTER, uselessreptile:moleclaw, 80, 1, 1
193, private, minecraft:mangrove_swamp, MONSTER, graveyard:nightmare, 10, 1, 1
194, private, minecraft:mangrove_swamp, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
195, private, minecraft:mangrove_swamp, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
196, private, minecraft:mangrove_swamp, CREATURE, minecraft:frog, 10, 2, 5
197, private, minecraft:mangrove_swamp, CREATURE, betteranimalsplus:crab, 10, 1, 3
198, private, minecraft:mangrove_swamp, CREATURE, betteranimalsplus:moose, 8, 1, 1
199, private, minecraft:mangrove_swamp, CREATURE, whisperwoods:wisp, 13, 1, 3
200, private, minecraft:mangrove_swamp, AMBIENT, minecraft:bat, 10, 8, 8
201, private, minecraft:mangrove_swamp, AMBIENT, mythicmounts:firebird, 5, 1, 1
202, private, minecraft:mangrove_swamp, AMBIENT, betteranimalsplus:dragonfly, 10, 1, 3
203, private, minecraft:mangrove_swamp, AMBIENT, whisperwoods:moth, 10, 1, 3
204, private, minecraft:mangrove_swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
205, private, minecraft:mangrove_swamp, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
206, private, minecraft:mangrove_swamp, WATER_AMBIENT, betteranimalsplus:lamprey, 7, 1, 3
207, private, minecraft:mangrove_swamp, WATER_AMBIENT, betteranimalsplus:eel_freshwater, 7, 1, 3
208, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
209, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
210, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
211, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
212, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
213, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
214, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
215, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
216, forest, minecraft:forest, MONSTER, soulsweapons:big_chungus, 20, 4, 8
217, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
218, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
219, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
220, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
221, forest, minecraft:forest, MONSTER, direbats:direbat, 36, 1, 3
222, forest, minecraft:forest, MONSTER, mythicmounts:dragon, 80, 1, 1
223, forest, minecraft:forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
224, forest, minecraft:forest, MONSTER, graveyard:ghoul, 25, 2, 5
225, forest, minecraft:forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
226, forest, minecraft:forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
227, forest, minecraft:forest, MONSTER, whisperwoods:hidebehind, 8, 1, 1
228, forest, minecraft:forest, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
229, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
230, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
231, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
232, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
233, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
234, forest, minecraft:forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
235, forest, minecraft:forest, CREATURE, betteranimalsplus:squirrel, 8, 1, 3
236, forest, minecraft:forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
237, forest, minecraft:forest, CREATURE, betteranimalsplus:badger, 7, 1, 2
238, forest, minecraft:forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
239, forest, minecraft:forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
240, forest, minecraft:forest, CREATURE, betteranimalsplus:brownbear, 7, 1, 1
241, forest, minecraft:forest, CREATURE, betteranimalsplus:blackbear, 6, 1, 1
242, forest, minecraft:forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
243, forest, minecraft:forest, CREATURE, betteranimalsplus:feralwolf, 7, 1, 6
244, forest, minecraft:forest, CREATURE, betteranimalsplus:boar, 9, 1, 4
245, forest, minecraft:forest, CREATURE, whisperwoods:wisp, 13, 1, 3
246, forest, minecraft:forest, CREATURE, whisperwoods:hirschgeist, 5, 1, 1
247, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
248, forest, minecraft:forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
249, forest, minecraft:forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
250, forest, minecraft:forest, AMBIENT, whisperwoods:moth, 10, 1, 3
251, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
252, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
253, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
254, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
255, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
256, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
257, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
258, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 4
259, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
260, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
261, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
262, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
263, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
264, forest, minecraft:flower_forest, MONSTER, direbats:direbat, 36, 1, 3
265, forest, minecraft:flower_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
266, forest, minecraft:flower_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
267, forest, minecraft:flower_forest, MONSTER, graveyard:ghoul, 25, 2, 5
268, forest, minecraft:flower_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
269, forest, minecraft:flower_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
270, forest, minecraft:flower_forest, MONSTER, whisperwoods:hidebehind, 8, 1, 1
271, forest, minecraft:flower_forest, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
272, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
273, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
274, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
275, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
276, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
277, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:lammergeier, 7, 1, 2
278, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
279, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:squirrel, 8, 1, 3
280, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
281, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:badger, 7, 1, 2
282, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
283, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
284, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:brownbear, 7, 1, 1
285, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:blackbear, 6, 1, 1
286, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
287, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:feralwolf, 7, 1, 6
288, forest, minecraft:flower_forest, CREATURE, betteranimalsplus:boar, 9, 1, 4
289, forest, minecraft:flower_forest, CREATURE, whisperwoods:wisp, 13, 1, 3
290, forest, minecraft:flower_forest, CREATURE, whisperwoods:hirschgeist, 5, 1, 1
291, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
292, forest, minecraft:flower_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
293, forest, minecraft:flower_forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
294, forest, minecraft:flower_forest, AMBIENT, whisperwoods:moth, 10, 1, 3
295, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
296, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
297, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
298, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
299, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
300, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
301, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
302, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
303, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
304, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
305, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
306, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
307, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
308, forest, minecraft:birch_forest, MONSTER, direbats:direbat, 36, 1, 3
309, forest, minecraft:birch_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
310, forest, minecraft:birch_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
311, forest, minecraft:birch_forest, MONSTER, graveyard:ghoul, 25, 2, 5
312, forest, minecraft:birch_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
313, forest, minecraft:birch_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
314, forest, minecraft:birch_forest, MONSTER, whisperwoods:hidebehind, 8, 1, 1
315, forest, minecraft:birch_forest, MONSTER, whisperwoods:zotzpyre, 30, 1, 1
316, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
317, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
318, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
319, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
320, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
321, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:squirrel, 8, 1, 3
322, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
323, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:badger, 7, 1, 2
324, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
325, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
326, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:brownbear, 7, 1, 1
327, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:blackbear, 6, 1, 1
328, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
329, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:feralwolf, 7, 1, 6
